alpha,recall@1,precision@1,f1@1,recall@3,precision@3,f1@3,recall@5,precision@5,f1@5,recall@10,precision@10,f1@10,mrr,n_queries
0.0,0.56,0.56,0.56,0.885,0.295,0.4425,0.885,0.177,0.295,0.925,0.0925,0.16818,0.58706,200
0.1,0.575,0.575,0.575,0.89,0.2967,0.445,0.905,0.181,0.3017,0.945,0.0945,0.171818,0.6025,200
0.2,0.585,0.585,0.585,0.905,0.3017,0.4525,0.92,0.184,0.30667,0.96,0.096,0.17455,0.6153,200
0.3,0.595,0.595,0.595,0.91,0.3033,0.455,0.925,0.185,0.3083,0.975,0.0975,0.17727,0.6235,200
0.4,0.58,0.58,0.58,0.905,0.3017,0.4525,0.93,0.186,0.31,0.98,0.098,0.17818,0.6168,200
0.5,0.565,0.565,0.565,0.9,0.3,0.45,0.935,0.187,0.31167,0.985,0.0985,0.17909,0.6048,200
0.6,0.54,0.54,0.54,0.9,0.3,0.45,0.935,0.187,0.31167,0.99,0.099,0.18,0.59153,200
0.7,0.43,0.43,0.43,0.83,0.2767,0.415,0.895,0.179,0.29833,0.975,0.0975,0.17727,0.5128,200
0.8,0.275,0.275,0.275,0.61,0.2033,0.305,0.735,0.147,0.245,0.865,0.0865,0.15727,0.3795,200
0.9,0.14,0.14,0.14,0.32,0.1067,0.16,0.46,0.092,0.15333,0.615,0.0615,0.11182,0.2315,200
1.0,0.075,0.075,0.075,0.15,0.05,0.075,0.235,0.047,0.07833,0.385,0.0385,0.07,0.14418,200
